City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,talnakh,69.4865,88.3972,-12.66,96,100,4.05,RU,2023-02-01 23:30:38
69,batagay-alyta,67.8006,130.4114,-29.74,100,100,0.38,RU,2023-02-01 23:26:37
70,avera,33.194,-82.5271,17.03,81,98,2.42,US,2023-02-01 23:30:39
71,plettenberg bay,-34.0527,23.3716,17.89,81,2,1.85,ZA,2023-02-01 23:30:39
72,albany,42.6001,-73.9662,-3.69,53,43,2.46,US,2023-02-01 23:29:50
73,san carlos,9.6612,-68.5827,27.18,40,1,2.23,VE,2023-02-01 23:26:46
74,ozernovskiy,51.5,156.5167,-4.12,60,100,4.01,RU,2023-02-01 23:30:40
75,tarbagatay,51.4803,107.3602,-29.26,98,90,1.6,RU,2023-02-01 23:30:41
76,cape town,-33.9258,18.4232,19.93,75,20,6.69,ZA,2023-02-01 23:29:02
77,florence,43.7667,11.25,8.47,88,75,1.03,IT,2023-02-01 23:30:42
78,velingara,13.15,-14.1167,25.6,15,48,2.87,SN,2023-02-01 23:30:42
79,waipawa,-41.4122,175.5153,22.94,63,97,3.44,NZ,2023-02-01 23:27:52
80,saldanha,-33.0117,17.9442,17.03,89,1,7.52,ZA,2023-02-01 23:29:18
81,mahanje,-9.9333,35.3333,17.43,97,95,1.22,TZ,2023-02-01 23:27:14
82,tommot,58.9564,126.2925,-19.64,94,100,4.65,RU,2023-02-01 23:30:43
83,butaritari,3.0707,172.7902,26.94,79,78,8.25,KI,2023-02-01 23:30:44
84,avarua,-21.2078,-159.775,23.03,88,75,3.09,CK,2023-02-01 23:30:45
85,beringovskiy,63.05,179.3167,-5.16,96,100,3.71,RU,2023-02-01 23:30:45
86,hobart,-42.8794,147.3294,15.68,55,75,6.17,AU,2023-02-01 23:20:19
87,upernavik,72.7868,-56.1549,-25.24,100,100,1.98,GL,2023-02-01 23:22:38
88,winsum,53.33,6.5208,7.99,78,25,8.47,NL,2023-02-01 23:30:46
89,namatanai,-3.6667,152.4333,28.25,72,99,3.1,PG,2023-02-01 23:22:39
90,olafsvik,64.8945,-23.7142,-0.59,70,100,7.74,IS,2023-02-01 23:28:40
91,hualmay,-11.0964,-77.6139,22.72,79,86,3.99,PE,2023-02-01 23:30:48
92,kodiak,57.79,-152.4072,3.73,65,0,2.57,US,2023-02-01 23:30:48
93,pomerode,-26.7406,-49.1769,25.03,99,88,0.41,BR,2023-02-01 23:30:49
94,zhaoqing,23.0512,112.4597,20.46,78,21,0.35,CN,2023-02-01 23:30:49
95,erbaa,40.6689,36.5675,2.17,93,100,2.28,TR,2023-02-01 23:30:50
96,shediac,46.2198,-64.5411,-11.71,61,40,3.09,CA,2023-02-01 23:30:51
97,jalingo,8.8833,11.3667,25.6,20,5,2.26,NG,2023-02-01 23:30:51
98,phek,25.6667,94.5,4.14,83,32,0.61,IN,2023-02-01 23:30:52
99,abay,49.6311,72.8539,-8.79,99,50,2.97,KZ,2023-02-01 23:22:57
100,pevek,69.7008,170.3133,-21.92,96,31,1.04,RU,2023-02-01 23:26:21
101,jiblah,13.9216,44.1467,14.11,64,43,1.47,YE,2023-02-01 23:30:53
102,nurota,40.5614,65.6886,6.46,94,100,7.65,UZ,2023-02-01 23:30:53
103,esperance,-33.8667,121.9,17.39,70,81,5.37,AU,2023-02-01 23:30:54
104,lata,40.1629,-8.3327,3.93,85,1,1.6,PT,2023-02-01 23:24:16
105,moron,-34.6534,-58.6198,26.12,74,100,3.82,AR,2023-02-01 23:27:23
106,flinders,-34.5833,150.8552,26.88,66,5,3.58,AU,2023-02-01 23:23:21
107,aden,12.7794,45.0367,24.2,67,4,5.52,YE,2023-02-01 23:30:55
108,mbandaka,0.0487,18.2603,22.35,77,53,1.25,CD,2023-02-01 23:30:56
109,aldan,58.6031,125.3894,-22.0,96,100,3.67,RU,2023-02-01 23:30:57
110,ostersund,63.1792,14.6357,-11.33,100,60,17.88,SE,2023-02-01 23:30:57
111,sankt georgen,47.1425,16.5815,3.41,69,93,3.58,HU,2023-02-01 23:30:58
112,vao,-22.6667,167.4833,26.37,78,62,2.49,NC,2023-02-01 23:23:02
113,beloha,-25.1667,45.05,21.08,86,16,5.73,MG,2023-02-01 23:30:59
114,sambava,-14.2667,50.1667,24.49,89,97,4.14,MG,2023-02-01 23:30:59
115,georgetown,5.4112,100.3354,24.97,94,20,1.54,MY,2023-02-01 23:27:39
116,port lincoln,-34.7333,135.8667,16.7,70,95,10.7,AU,2023-02-01 23:24:00
117,peterhead,57.5058,-1.7981,5.22,86,100,5.68,GB,2023-02-01 23:31:01
118,lewisporte,49.2499,-55.0482,-12.16,87,78,1.51,CA,2023-02-01 23:30:19
119,whitehorse,60.7161,-135.0538,-8.32,68,75,6.71,CA,2023-02-01 23:31:01
120,cabo san lucas,22.8909,-109.9124,22.17,52,75,4.63,MX,2023-02-01 23:31:02
121,andra,62.5147,65.8878,-14.34,99,75,1.77,RU,2023-02-01 23:31:03
122,tabas,33.5959,56.9244,10.34,83,74,0.63,IR,2023-02-01 23:28:47
123,saskylakh,71.9167,114.0833,-24.43,98,100,3.6,RU,2023-02-01 23:31:04
124,nome,64.5011,-165.4064,-16.96,92,20,0.0,US,2023-02-01 23:31:04
125,takapau,-40.0333,176.35,26.52,54,75,3.58,NZ,2023-02-01 23:31:05
126,bathsheba,13.2167,-59.5167,25.34,69,40,5.66,BB,2023-02-01 23:31:05
127,tasiilaq,65.6145,-37.6368,-7.91,75,100,12.96,GL,2023-02-01 23:31:06
128,chapais,49.7834,-74.8492,-15.12,97,100,1.6,CA,2023-02-01 23:26:31
129,thinadhoo,0.5333,72.9333,27.25,71,22,6.73,MV,2023-02-01 23:31:07
130,mount isa,-20.7333,139.5,23.87,73,100,2.57,AU,2023-02-01 23:31:07
131,valenca do piaui,-6.4075,-41.7456,21.9,89,88,1.74,BR,2023-02-01 23:31:08
132,chokurdakh,70.6333,147.9167,-23.62,98,100,0.9,RU,2023-02-01 23:24:30
133,kostomuksha,64.571,30.5767,-14.7,100,89,1.68,RU,2023-02-01 23:31:09
134,port elizabeth,-33.918,25.5701,19.62,88,0,4.12,ZA,2023-02-01 23:27:28
135,tautira,-17.7333,-149.15,27.76,73,30,8.12,PF,2023-02-01 23:31:10
136,stornoway,58.2093,-6.3865,4.98,93,75,3.09,GB,2023-02-01 23:22:27
137,vila franca do campo,37.7167,-25.4333,12.23,79,94,2.82,PT,2023-02-01 23:31:11
138,guiren,33.6697,118.1889,-0.52,54,83,3.71,CN,2023-02-01 23:31:11
139,constitucion,-35.3333,-72.4167,18.61,63,10,7.22,CL,2023-02-01 23:27:29
140,baruun-urt,46.6806,113.2792,-22.4,91,15,3.01,MN,2023-02-01 23:31:12
141,bredasdorp,-34.5322,20.0403,19.25,73,98,1.69,ZA,2023-02-01 23:31:12
142,port moresby,-9.4431,147.1797,25.68,89,75,5.14,PG,2023-02-01 23:30:53
143,college,64.8569,-147.8028,-10.11,84,100,2.06,US,2023-02-01 23:31:13
144,cileungsi,-6.3947,106.9592,27.64,79,100,1.15,ID,2023-02-01 23:31:14
145,saint-joseph,-21.3667,55.6167,22.21,80,31,3.18,RE,2023-02-01 23:31:14
146,faanui,-16.4833,-151.75,27.66,74,81,9.18,PF,2023-02-01 23:24:36
147,port pirie,-33.1833,138.0167,18.08,53,64,7.41,AU,2023-02-01 23:31:15
148,bowen,-20.0167,148.2333,29.47,70,100,3.43,AU,2023-02-01 23:31:16
149,clyde river,70.4692,-68.5914,-34.87,61,0,2.57,CA,2023-02-01 23:24:46
150,castro,-24.7911,-50.0119,18.04,95,100,1.03,BR,2023-02-01 23:31:17
151,tete,-16.1564,33.5867,25.43,75,53,2.52,MZ,2023-02-01 23:29:40
152,krutikha,53.9599,81.2093,-21.5,98,44,1.42,RU,2023-02-01 23:31:18
153,dunedin,-45.8742,170.5036,22.11,77,44,3.13,NZ,2023-02-01 23:22:43
154,oktyabrskoye,43.0645,44.7417,0.08,93,29,3.0,RU,2023-02-01 23:31:18
155,ulaanbaatar,47.9077,106.8832,-29.93,69,18,1.0,MN,2023-02-01 23:31:19
